booking_id,customer_id,full_date,year,month,date,weekend_nights,week_nights,duration,avg_euros_per_night
TMD00001,INN00001,2017-10-02,2017,10,2,1,2,3,65
TMD00002,INN00002,2018-11-06,2018,11,6,2,3,5,106.68
TMD00003,INN00003,2018-02-28,2018,2,28,2,1,3,60
TMD00004,INN00004,2018-05-20,2018,5,20,0,2,2,100
TMD00005,INN00005,2018-04-11,2018,4,11,1,1,2,94.5
TMD00006,INN00006,2018-09-13,2018,9,13,0,2,2,115
TMD00007,INN00007,2017-10-15,2017,10,15,1,3,4,107.55
TMD00008,INN00008,2018-12-26,2018,12,26,1,3,4,105.61
TMD00009,INN00009,2018-07-06,2018,7,6,0,4,4,96.9
TMD00010,INN00010,2018-10-18,2018,10,18,0,5,5,133.44
TMD00011,INN00011,2018-09-11,2018,9,11,1,0,1,85.03
TMD00012,INN00012,2018-04-30,2018,4,30,2,1,3,140.4
TMD00013,INN00013,2018-11-26,2018,11,26,2,1,3,88
TMD00014,INN00014,2018-11-20,2018,11,20,2,0,2,90
TMD00015,INN00015,2017-10-20,2017,10,20,0,2,2,94.5
TMD00016,INN00016,2018-06-15,2018,6,15,0,2,2,115
TMD00017,INN00017,2017-10-05,2017,10,5,1,0,1,96
TMD00018,INN00018,2017-08-10,2017,8,10,1,3,4,96
TMD00019,INN00019,2017-10-30,2017,10,30,2,2,4,65
TMD00020,INN00020,2017-10-04,2017,10,4,1,0,1,72
TMD00021,INN00021,2017-10-30,2017,10,30,2,2,4,65
TMD00022,INN00022,2018-11-25,2018,11,25,0,1,1,67
TMD00023,INN00023,2018-03-20,2018,3,20,2,4,6,85
TMD00024,INN00024,2018-10-13,2018,10,13,0,3,3,105
TMD00025,INN00025,2018-05-22,2018,5,22,2,1,3,94.5
TMD00026,INN00026,2018-04-28,2018,4,28,0,2,2,114.3
TMD00027,INN00027,2017-09-21,2017,9,21,1,1,2,65
TMD00028,INN00028,2018-05-19,2018,5,19,0,2,2,110
TMD00029,INN00029,2017-11-06,2017,11,6,1,2,3,37.33
TMD00030,INN00030,2017-09-17,2017,9,17,0,2,2,82
TMD00031,INN00031,2017-09-19,2017,9,19,1,1,2,177.5
TMD00032,INN00032,2018-11-13,2018,11,13,2,2,4,87.5
TMD00033,INN00033,2018-12-07,2018,12,7,0,3,3,82.44
TMD00034,INN00034,2018-01-09,2018,1,9,0,1,1,69.5
TMD00035,INN00035,2018-10-07,2018,10,7,0,2,2,85.5
TMD00036,INN00036,2018-04-27,2018,4,27,0,1,1,115
TMD00037,INN00037,2018-06-19,2018,6,19,2,1,3,81
TMD00038,INN00038,2017-10-17,2017,10,17,0,1,1,67
TMD00039,INN00039,2018-11-19,2018,11,19,2,3,5,63.75
TMD00040,INN00040,2018-07-30,2018,7,30,2,1,3,121.8
TMD00041,INN00041,2018-11-01,2018,11,1,0,4,4,93.6
TMD00042,INN00042,2018-06-21,2018,6,21,0,2,2,102
TMD00043,INN00043,2018-04-10,2018,4,10,2,1,3,121.8
TMD00044,INN00044,2018-06-27,2018,6,27,1,1,2,98.1
TMD00045,INN00045,2017-11-18,2017,11,18,0,4,4,60
TMD00046,INN00046,2017-12-29,2017,12,29,0,3,3,75
TMD00047,INN00047,2017-11-20,2017,11,20,0,2,2,73
TMD00048,INN00048,2018-04-06,2018,4,6,0,1,1,104
TMD00049,INN00049,2018-11-01,2018,11,1,0,4,4,79.2
TMD00050,INN00050,2018-12-29,2018,12,29,1,3,4,125.8
TMD00051,INN00051,2018-05-30,2018,5,30,2,5,7,87.95
TMD00052,INN00052,2018-04-22,2018,4,22,2,2,4,106
TMD00053,INN00053,2018-05-16,2018,5,16,1,2,3,136.67
TMD00054,INN00054,2017-11-11,2017,11,11,0,4,4,60
TMD00055,INN00055,2018-06-13,2018,6,13,1,0,1,89
TMD00056,INN00056,2018-05-19,2018,5,19,1,3,4,136
TMD00057,INN00057,2018-07-28,2018,7,28,0,1,1,94.5
TMD00058,INN00058,2018-12-26,2018,12,26,1,2,3,93.6
TMD00059,INN00059,2018-04-20,2018,4,20,1,4,5,120.6
TMD00060,INN00060,2018-04-06,2018,4,6,0,3,3,99.3
TMD00061,INN00061,2018-09-02,2018,9,2,0,1,1,258
TMD00062,INN00062,2018-05-03,2018,5,3,0,3,3,120.12
TMD00063,INN00063,2018-06-24,2018,6,24,0,2,2,95
TMD00064,INN00064,2017-09-10,2017,9,10,0,1,1,0
TMD00065,INN00065,2018-12-18,2018,12,18,2,1,3,75
TMD00066,INN00066,2018-10-05,2018,10,5,0,3,3,157.5
TMD00067,INN00067,2018-06-03,2018,6,3,0,2,2,97.7
TMD00068,INN00068,2018-04-15,2018,4,15,0,2,2,142
TMD00069,INN00069,2018-04-06,2018,4,6,0,1,1,80
TMD00070,INN00070,2018-04-25,2018,4,25,1,2,3,85.5
TMD00071,INN00071,2018-08-25,2018,8,25,0,3,3,100
TMD00072,INN00072,2018-11-14,2018,11,14,1,0,1,88
TMD00073,INN00073,2018-08-29,2018,8,29,1,1,2,122.85
TMD00074,INN00074,2018-06-03,2018,6,3,0,2,2,100
TMD00075,INN00075,2017-10-25,2017,10,25,2,3,5,75
TMD00076,INN00076,2018-03-09,2018,3,9,1,4,5,116.8
TMD00077,INN00077,2018-12-31,2018,12,31,1,1,2,121.5
TMD00078,INN00078,2018-06-27,2018,6,27,1,2,3,111.9
TMD00079,INN00079,2018-06-28,2018,6,28,2,5,7,121.55
TMD00080,INN00080,2018-03-29,2018,3,29,0,5,5,75
TMD00081,INN00081,2018-04-01,2018,4,1,0,2,2,159.3
TMD00082,INN00082,2018-10-11,2018,10,11,0,5,5,132.3
TMD00083,INN00083,2018-12-25,2018,12,25,2,0,2,88
TMD00084,INN00084,2018-03-14,2018,3,14,1,4,5,98.82
TMD00085,INN00085,2018-03-04,2018,3,4,1,2,3,98.3
TMD00086,INN00086,2018-10-17,2018,10,17,1,0,1,150
TMD00087,INN00087,2018-09-04,2018,9,4,2,3,5,96.05
TMD00088,INN00088,2018-06-15,2018,6,15,0,2,2,130
TMD00089,INN00089,2018-12-10,2018,12,10,0,1,1,95
TMD00090,INN00090,2018-08-09,2018,8,9,0,3,3,113.56
TMD00091,INN00091,2018-05-05,2018,5,5,1,3,4,101.58
TMD00092,INN00092,2018-03-18,2018,3,18,1,2,3,105.3
TMD00093,INN00093,2018-04-09,2018,4,9,2,1,3,115.8
TMD00094,INN00094,2018-05-19,2018,5,19,0,1,1,149.4
TMD00095,INN00095,2018-08-30,2018,8,30,2,5,7,111.59
TMD00096,INN00096,2018-08-04,2018,8,4,0,2,2,130.5
TMD00097,INN00097,2018-08-18,2018,8,18,0,2,2,115
TMD00098,INN00098,2018-04-13,2018,4,13,0,4,4,90.95
TMD00099,INN00099,2018-11-17,2018,11,17,0,3,3,76.08
TMD00100,INN00100,2018-12-22,2018,12,22,1,3,4,156.9
TMD00101,INN00101,2018-10-23,2018,10,23,1,0,1,85.5
TMD00102,INN00102,2018-05-13,2018,5,13,1,2,3,159.3
TMD00103,INN00103,2018-12-13,2018,12,13,0,4,4,74.8
TMD00104,INN00104,2017-10-31,2017,10,31,0,1,1,95
TMD00105,INN00105,2017-10-08,2017,10,8,0,3,3,107
TMD00106,INN00106,2018-02-16,2018,2,16,0,3,3,64
TMD00107,INN00107,2017-11-02,2017,11,2,1,4,5,82.95
TMD00108,INN00108,2017-09-21,2017,9,21,1,3,4,155
TMD00109,INN00109,2018-06-30,2018,6,30,0,1,1,101.68
TMD00110,INN00110,2017-09-05,2017,9,5,2,1,3,94.5
TMD00111,INN00111,2018-09-30,2018,9,30,0,2,2,117.9
TMD00112,INN00112,2018-06-27,2018,6,27,1,0,1,127
TMD00113,INN00113,2018-06-16,2018,6,16,0,3,3,116.1
TMD00114,INN00114,2018-06-30,2018,6,30,2,3,5,117.9
TMD00115,INN00115,2018-06-26,2018,6,26,2,2,4,184.24
TMD00116,INN00116,2018-08-13,2018,8,13,2,2,4,155.7
TMD00117,INN00117,2018-04-22,2018,4,22,2,5,7,135.76
TMD00118,INN00118,2018-11-12,2018,11,12,2,5,7,102.83
TMD00119,INN00119,2018-04-29,2018,4,29,0,1,1,65
TMD00120,INN00120,2017-11-14,2017,11,14,2,3,5,103
TMD00121,INN00121,2018-09-01,2018,9,1,0,3,3,106.2
