booking_id,meal_plan,car_parking_space,room_type,special_requests
TMD00001,Meal Plan 1,0,Room_Type 1,0
TMD00002,Not Selected,0,Room_Type 1,1
TMD00003,Meal Plan 1,0,Room_Type 1,0
TMD00004,Meal Plan 1,0,Room_Type 1,0
TMD00005,Not Selected,0,Room_Type 1,0
TMD00006,Meal Plan 2,0,Room_Type 1,1
TMD00007,Meal Plan 1,0,Room_Type 1,1
TMD00008,Meal Plan 1,0,Room_Type 4,1
TMD00009,Meal Plan 1,0,Room_Type 1,1
TMD00010,Meal Plan 1,0,Room_Type 4,3
TMD00011,Not Selected,0,Room_Type 1,0
TMD00012,Meal Plan 1,0,Room_Type 4,1
TMD00013,Not Selected,0,Room_Type 1,0
TMD00014,Meal Plan 1,0,Room_Type 1,2
TMD00015,Meal Plan 1,0,Room_Type 1,2
TMD00016,Meal Plan 2,0,Room_Type 1,1
TMD00017,Meal Plan 1,0,Room_Type 1,0
TMD00018,Not Selected,0,Room_Type 1,1
TMD00019,Meal Plan 1,0,Room_Type 1,0
TMD00020,Meal Plan 1,0,Room_Type 1,0
TMD00021,Meal Plan 1,0,Room_Type 1,0
TMD00022,Meal Plan 1,0,Room_Type 1,0
TMD00023,Meal Plan 1,0,Room_Type 1,0
TMD00024,Meal Plan 1,0,Room_Type 1,0
TMD00025,Not Selected,0,Room_Type 1,1
TMD00026,Meal Plan 1,0,Room_Type 1,1
TMD00027,Meal Plan 1,0,Room_Type 1,0
TMD00028,Meal Plan 1,0,Room_Type 4,0
TMD00029,Meal Plan 1,0,Room_Type 1,0
TMD00030,Meal Plan 2,0,Room_Type 1,0
TMD00031,Meal Plan 1,0,Room_Type 4,1
TMD00032,Meal Plan 1,0,Room_Type 1,1
TMD00033,Meal Plan 1,0,Room_Type 2,1
TMD00034,Not Selected,0,Room_Type 1,1
TMD00035,Meal Plan 1,0,Room_Type 1,0
TMD00036,Not Selected,1,Room_Type 1,1
TMD00037,Meal Plan 1,0,Room_Type 1,0
TMD00038,Meal Plan 1,0,Room_Type 1,0
TMD00039,Not Selected,0,Room_Type 1,0
TMD00040,Meal Plan 1,0,Room_Type 4,1
TMD00041,Meal Plan 1,0,Room_Type 1,2
TMD00042,Meal Plan 1,0,Room_Type 1,1
TMD00043,Meal Plan 1,0,Room_Type 1,1
TMD00044,Not Selected,0,Room_Type 1,1
TMD00045,Meal Plan 1,0,Room_Type 4,1
TMD00046,Meal Plan 1,0,Room_Type 1,0
TMD00047,Meal Plan 1,0,Room_Type 1,0
TMD00048,Meal Plan 2,0,Room_Type 1,0
TMD00049,Not Selected,0,Room_Type 1,1
TMD00050,Meal Plan 1,0,Room_Type 4,2
TMD00051,Not Selected,0,Room_Type 1,0
TMD00052,Meal Plan 2,0,Room_Type 1,0
TMD00053,Meal Plan 1,0,Room_Type 1,1
TMD00054,Meal Plan 1,0,Room_Type 4,1
TMD00055,Not Selected,0,Room_Type 1,2
TMD00056,Meal Plan 1,0,Room_Type 1,1
TMD00057,Not Selected,0,Room_Type 1,1
TMD00058,Meal Plan 1,0,Room_Type 1,2
TMD00059,Meal Plan 1,0,Room_Type 4,0
TMD00060,Meal Plan 1,0,Room_Type 4,1
TMD00061,Meal Plan 1,1,Room_Type 6,1
TMD00062,Meal Plan 1,0,Room_Type 4,2
TMD00063,Meal Plan 1,0,Room_Type 1,0
TMD00064,Meal Plan 1,0,Room_Type 1,1
TMD00065,Meal Plan 1,0,Room_Type 1,0
TMD00066,Meal Plan 1,0,Room_Type 4,2
TMD00067,Meal Plan 1,0,Room_Type 4,1
TMD00068,Meal Plan 1,0,Room_Type 4,0
TMD00069,Meal Plan 1,0,Room_Type 1,0
TMD00070,Meal Plan 1,0,Room_Type 1,1
TMD00071,Meal Plan 1,0,Room_Type 1,0
TMD00072,Not Selected,0,Room_Type 1,2
TMD00073,Meal Plan 1,1,Room_Type 1,1
TMD00074,Meal Plan 1,0,Room_Type 1,0
TMD00075,Meal Plan 1,0,Room_Type 4,0
TMD00076,Meal Plan 1,0,Room_Type 4,1
TMD00077,Meal Plan 1,0,Room_Type 4,0
TMD00078,Meal Plan 1,0,Room_Type 1,1
TMD00079,Meal Plan 1,0,Room_Type 4,2
TMD00080,Meal Plan 1,0,Room_Type 1,1
TMD00081,Meal Plan 1,0,Room_Type 6,0
TMD00082,Meal Plan 1,0,Room_Type 4,0
TMD00083,Not Selected,0,Room_Type 1,2
TMD00084,Meal Plan 1,0,Room_Type 4,0
TMD00085,Meal Plan 1,1,Room_Type 4,1
TMD00086,Meal Plan 1,0,Room_Type 1,2
TMD00087,Not Selected,0,Room_Type 1,1
TMD00088,Meal Plan 1,0,Room_Type 1,0
TMD00089,Not Selected,0,Room_Type 1,0
TMD00090,Meal Plan 1,0,Room_Type 5,0
TMD00091,Not Selected,0,Room_Type 1,1
TMD00092,Meal Plan 1,1,Room_Type 1,0
TMD00093,Meal Plan 1,0,Room_Type 4,1
TMD00094,Meal Plan 1,0,Room_Type 4,1
TMD00095,Meal Plan 1,0,Room_Type 1,0
TMD00096,Meal Plan 1,1,Room_Type 1,2
TMD00097,Meal Plan 2,0,Room_Type 1,1
TMD00098,Meal Plan 1,0,Room_Type 1,1
TMD00099,Meal Plan 1,0,Room_Type 1,1
TMD00100,Meal Plan 1,0,Room_Type 6,0
