ID,n_adults,n_children,marital_status,lead_time,market_segment,repeated_guest,previous_cancellations,previous_bookings_not_canceled,status
INN00001,2,0,Single,224,Offline,0,0,0,Not_Canceled
INN00002,2,0,Single,5,Online,0,0,0,Not_Canceled
INN00003,1,0,Single,1,Online,0,0,0,Not_Canceled
INN00004,2,0,Single,211,Online,0,0,0,Not_Canceled
INN00005,2,0,Single,48,Online,0,0,0,Not_Canceled
INN00006,2,0,Single,346,Online,0,0,0,Not_Canceled
INN00007,2,0,Single,34,Online,0,0,0,Not_Canceled
INN00008,2,0,Single,83,Online,0,0,0,Not_Canceled
INN05212,2,0,Single,443,Online,1,0,4,Not_Canceled
INN00010,2,0,Single,44,Online,0,0,0,Not_Canceled
INN00011,1,0,Single,0,Online,0,0,0,Not_Canceled
INN00200,2,0,Single,418,Online,1,0,2,Not_Canceled
INN00013,2,0,Single,30,Online,0,0,0,Not_Canceled
INN00014,1,0,Single,95,Online,0,0,0,Not_Canceled
INN00015,2,0,Single,47,Online,0,0,0,Not_Canceled
INN00016,2,0,Single,256,Online,0,0,0,Not_Canceled
INN00017,1,0,Single,0,Offline,0,0,0,Not_Canceled
INN00018,2,0,Single,1,Online,0,0,0,Not_Canceled
INN00019,2,0,Single,99,Online,0,0,0,Not_Canceled
INN00020,2,0,Single,12,Offline,0,0,0,Not_Canceled
INN00021,2,0,Single,99,Online,0,0,0,Not_Canceled
INN00022,1,0,Single,122,Corporate,0,0,0,Not_Canceled
INN00023,2,0,Single,2,Offline,0,0,0,Not_Canceled
INN00024,2,0,Single,37,Offline,0,0,0,Not_Canceled
INN00025,2,0,Single,130,Online,0,0,0,Not_Canceled
INN03736,2,0,Single,418,Online,1,0,1,Not_Canceled
INN00027,2,0,Single,60,Offline,0,0,0,Not_Canceled
INN00028,1,0,Single,2,Aviation,0,0,0,Not_Canceled
INN00029,1,0,Single,37,Online,0,0,0,Not_Canceled
INN00030,2,0,Single,56,Offline,0,0,0,Not_Canceled
INN00031,2,0,Single,3,Online,0,0,0,Not_Canceled
INN00032,2,0,Single,107,Online,0,0,0,Not_Canceled
INN02015,2,0,Single,386,Online,1,0,2,Not_Canceled
INN00034,2,0,Single,2,Online,0,0,0,Not_Canceled
INN00035,2,0,Single,72,Offline,0,0,0,Not_Canceled
INN00036,2,0,Single,23,Online,0,0,0,Not_Canceled
INN00037,1,0,Single,34,Online,0,0,0,Canceled
INN00038,2,0,Single,289,Offline,0,0,0,Not_Canceled
INN00039,2,0,Single,247,Online,0,0,0,Not_Canceled
INN00040,2,0,Single,186,Online,0,0,0,Not_Canceled
INN00041,2,0,Single,64,Online,0,0,0,Not_Canceled
INN00042,2,0,Single,35,Online,0,0,0,Not_Canceled
INN00043,3,0,Single,96,Online,0,0,0,Not_Canceled
INN00044,2,0,Single,41,Online,0,0,0,Not_Canceled
INN00045,2,0,Single,55,Offline,0,0,0,Not_Canceled
INN05690,2,0,Single,386,Online,1,0,6,Not_Canceled
INN00047,1,0,Single,32,Offline,0,0,0,Not_Canceled
INN00048,2,0,Single,55,Offline,0,0,0,Not_Canceled
INN00049,2,0,Single,57,Online,0,0,0,Not_Canceled
INN00050,1,0,Single,7,Online,0,0,0,Not_Canceled
INN00051,1,0,Single,124,Online,0,0,0,Not_Canceled
INN00052,2,0,Single,169,Online,0,0,0,Not_Canceled
INN07357,2,0,Single,386,Online,1,0,7,Not_Canceled
INN00054,2,0,Single,51,Offline,0,0,0,Not_Canceled
INN00055,2,0,Single,13,Online,0,0,0,Not_Canceled
INN00056,2,0,Single,100,Online,0,0,0,Not_Canceled
INN00057,2,0,Single,139,Online,0,0,0,Not_Canceled
INN01932,2,0,Single,377,Online,1,0,2,Not_Canceled
INN00059,2,0,Single,39,Online,0,0,0,Not_Canceled
INN00060,2,0,Single,86,Online,0,0,0,Not_Canceled
INN00061,2,2,In relation,2,Online,0,0,0,Canceled
INN00062,1,0,Single,19,Online,0,0,0,Not_Canceled
INN18089,2,0,Single,377,Offline,1,0,2,Not_Canceled
INN00064,1,0,Single,2,Complementary,0,0,0,Not_Canceled
INN00065,2,0,Single,86,Offline,0,0,0,Not_Canceled
INN22308,2,0,Single,377,Offline,1,1,8,Not_Canceled
INN00067,2,0,Single,179,Online,0,0,0,Not_Canceled
INN00068,2,0,Single,26,Online,0,0,0,Not_Canceled
INN00069,2,0,Single,55,Offline,0,0,0,Not_Canceled
INN00070,2,0,Single,74,Online,0,0,0,Not_Canceled
INN00071,2,0,Single,143,Offline,0,0,0,Not_Canceled
INN00072,2,0,Single,34,Online,0,0,0,Not_Canceled
INN00073,2,0,Single,30,Online,0,0,0,Not_Canceled
INN00074,2,0,Single,177,Online,0,0,0,Not_Canceled
INN00075,2,0,Single,34,Offline,0,0,0,Not_Canceled
INN00076,2,0,Single,18,Online,0,0,0,Not_Canceled
INN00077,3,0,Single,267,Online,0,0,0,Not_Canceled
INN00078,2,0,Single,64,Online,0,0,0,Not_Canceled
INN00079,3,0,Single,155,Online,0,0,0,Not_Canceled
INN00080,2,0,Single,46,Offline,0,0,0,Not_Canceled
INN00081,2,2,In relation,83,Online,0,0,0,Not_Canceled
INN00082,2,0,Single,128,Online,0,0,0,Canceled
INN00083,2,0,Single,20,Online,0,0,0,Not_Canceled
INN00084,2,0,Single,40,Online,0,0,0,Not_Canceled
INN03110,2,0,Single,349,Online,1,5,52,Not_Canceled
INN00086,1,0,Single,1,Online,0,0,0,Not_Canceled
INN00087,2,0,Single,196,Online,0,0,0,Not_Canceled
INN00088,1,0,Single,188,Online,0,0,0,Not_Canceled
INN00089,2,0,Single,17,Online,0,0,0,Not_Canceled
INN01809,2,0,Single,346,Online,1,0,4,Not_Canceled
INN00091,2,0,Single,110,Online,0,0,0,Not_Canceled
INN00092,2,0,Single,68,Online,0,0,0,Not_Canceled
INN00093,2,0,Single,73,Online,0,0,0,Not_Canceled
INN05776,1,0,Single,335,Offline,1,0,5,Not_Canceled
INN00095,2,0,Single,171,Online,0,0,0,Not_Canceled
INN00096,2,1,In relation,134,Online,0,0,0,Not_Canceled
INN00097,2,0,Single,320,Online,0,0,0,Not_Canceled
INN00098,2,0,Single,118,Online,0,0,0,Canceled
INN00099,2,0,Single,30,Online,0,0,0,Not_Canceled
INN00100,2,2,In relation,30,Online,0,0,0,Not_Canceled
INN00101,2,0,Single,189,Online,0,0,0,Not_Canceled
INN00537,2,1,In relation,330,Online,1,0,2,Not_Canceled
INN00103,1,0,Single,55,Online,0,0,0,Not_Canceled
INN00104,2,0,Single,16,Online,0,0,0,Not_Canceled
INN00105,2,0,Single,24,Online,0,0,0,Not_Canceled
INN00106,2,0,Single,8,Offline,0,0,0,Not_Canceled
INN00107,2,0,Single,10,Online,0,0,0,Not_Canceled
INN00108,2,0,Single,0,Online,0,0,0,Not_Canceled
INN00109,2,0,Single,12,Online,0,0,0,Not_Canceled
INN17540,2,0,Single,320,Offline,1,0,5,Not_Canceled
INN00111,2,0,Single,182,Online,0,0,0,Not_Canceled
INN00112,2,0,Single,1,Online,0,0,0,Not_Canceled
INN04718,2,0,Single,317,Online,1,0,10,Not_Canceled
INN00114,2,0,Single,40,Online,0,0,0,Not_Canceled
INN00115,2,2,In relation,116,Online,0,0,0,Not_Canceled
INN00116,3,0,Single,123,Online,0,0,0,Not_Canceled
INN00117,3,0,Single,40,Online,0,0,0,Not_Canceled
INN00118,2,1,In relation,105,Online,0,0,0,Not_Canceled
INN00119,2,0,Single,443,Online,0,0,0,Not_Canceled
INN09548,2,0,Single,317,Offline,1,1,0,Not_Canceled
INN00121,2,0,Single,317,Online,0,0,0,Not_Canceled
INN00122,2,0,Single,286,Offline,0,0,0,Not_Canceled
INN04681,2,0,Single,308,Online,1,0,1,Not_Canceled
INN00124,2,0,Single,148,Online,0,0,0,Not_Canceled
INN00125,3,0,Single,68,Online,0,0,0,Not_Canceled
INN04529,2,0,Single,304,Online,1,0,9,Not_Canceled
INN00127,1,0,Single,14,Online,0,0,0,Not_Canceled
INN00128,2,2,In relation,110,Online,0,0,0,Not_Canceled
INN00129,1,0,Single,117,Offline,0,0,0,Not_Canceled
INN00130,2,0,Single,85,Online,0,0,0,Not_Canceled
INN00189,2,0,Single,303,Online,1,0,15,Not_Canceled
INN00132,1,0,Single,25,Online,0,0,0,Not_Canceled
INN00133,2,0,Single,289,Online,0,0,0,Not_Canceled
INN00134,2,0,Single,28,Offline,0,0,0,Not_Canceled
INN00135,1,0,Single,80,Online,0,0,0,Not_Canceled
INN00136,2,0,Single,11,Online,0,0,0,Not_Canceled
INN04354,2,0,Single,303,Offline,1,0,11,Not_Canceled
INN00138,2,0,Single,155,Online,0,0,0,Not_Canceled
INN00139,1,0,Single,82,Online,0,0,0,Not_Canceled
INN00140,3,0,Single,27,Online,0,0,0,Not_Canceled
INN00141,1,0,Single,13,Offline,0,0,0,Not_Canceled
INN00142,2,0,Single,245,Online,0,0,0,Not_Canceled
INN00143,2,0,Single,11,Online,0,0,0,Not_Canceled
INN00144,2,0,Single,266,Online,0,0,0,Not_Canceled
INN00145,2,0,Single,39,Online,0,0,0,Not_Canceled
INN00146,1,0,Single,13,Complementary,0,0,0,Not_Canceled
INN00147,2,0,Single,112,Online,0,0,0,Not_Canceled
INN00148,2,0,Single,88,Online,0,0,0,Not_Canceled
INN00149,2,0,Single,56,Offline,0,0,0,Not_Canceled
INN00150,2,0,Single,73,Online,0,0,0,Not_Canceled
INN00151,2,0,Single,80,Online,0,0,0,Not_Canceled
INN00152,2,0,Single,130,Online,0,0,0,Not_Canceled
INN00153,2,0,Single,69,Online,0,0,0,Not_Canceled
INN00269,2,0,Single,302,Online,1,0,1,Not_Canceled
INN01285,2,0,Single,301,Online,1,2,8,Not_Canceled
INN00156,1,0,Single,4,Corporate,0,0,0,Not_Canceled
INN00157,2,0,Single,97,Online,0,0,0,Not_Canceled
INN00158,2,0,Single,44,Offline,0,0,0,Not_Canceled
INN00159,2,0,Single,31,Online,0,0,0,Canceled
INN03859,2,0,Single,301,Online,1,3,2,Not_Canceled
INN00161,2,0,Single,62,Online,0,0,0,Not_Canceled
INN04270,2,0,Single,299,Online,1,0,1,Not_Canceled
INN00163,3,0,Single,3,Online,0,0,0,Not_Canceled
INN00164,2,0,Single,197,Online,0,0,0,Not_Canceled
INN23228,2,0,Single,298,Offline,1,1,2,Not_Canceled
INN00166,1,0,Single,23,Online,0,0,0,Not_Canceled
INN00167,2,0,Single,8,Online,0,0,0,Not_Canceled
INN00168,1,0,Single,13,Online,0,0,0,Not_Canceled
INN07574,2,2,In relation,296,Online,1,0,4,Not_Canceled
INN00170,2,1,In relation,11,Online,0,0,0,Not_Canceled
INN00171,2,0,Single,317,Online,0,0,0,Not_Canceled
INN00172,2,0,Single,185,Online,0,0,0,Not_Canceled
INN00173,2,0,Single,160,Online,0,0,0,Not_Canceled
INN00174,2,0,Single,104,Online,0,0,0,Not_Canceled
INN00175,2,1,In relation,11,Online,0,0,0,Not_Canceled
INN00176,2,0,Single,2,Online,0,0,0,Not_Canceled
INN00177,2,0,Single,14,Online,0,0,0,Not_Canceled
INN00178,2,0,Single,22,Offline,0,0,0,Not_Canceled
INN00179,1,1,In relation,37,Online,0,0,0,Not_Canceled
INN00180,2,0,Single,292,Online,1,0,1,Not_Canceled
INN00181,2,0,Single,11,Online,0,0,0,Canceled
INN00182,2,0,Single,86,Online,0,0,0,Not_Canceled
INN03393,2,0,Single,292,Online,1,0,6,Not_Canceled
INN00184,2,0,Single,72,Online,0,0,0,Not_Canceled
INN01211,2,0,Single,290,Online,1,0,1,Not_Canceled
INN00186,2,0,Single,56,Online,0,0,0,Not_Canceled
INN00187,2,0,Single,189,Offline,0,0,0,Not_Canceled
INN00188,2,0,Single,126,Online,0,0,0,Not_Canceled
INN02781,1,0,Single,289,Online,1,3,3,Not_Canceled
INN00190,1,0,Single,81,Online,0,0,0,Not_Canceled
INN00191,2,0,Single,54,Online,0,0,0,Not_Canceled
INN00192,1,0,Single,15,Online,0,0,0,Not_Canceled
INN00193,2,0,Single,86,Online,0,0,0,Not_Canceled
INN00194,2,0,Single,161,Online,0,0,0,Not_Canceled
INN00195,2,0,Single,147,Online,0,0,0,Canceled
INN00196,2,0,Single,92,Offline,0,0,0,Not_Canceled
INN07620,2,0,Single,287,Online,1,0,5,Not_Canceled
INN00198,2,0,Single,109,Offline,0,0,0,Canceled
INN00199,2,0,Single,127,Offline,0,0,0,Not_Canceled
INN04469,2,0,Single,285,Online,1,0,2,Not_Canceled
INN00201,2,0,Single,156,Online,0,0,0,Not_Canceled
INN00202,2,0,Single,80,Online,0,0,0,Canceled
INN00203,2,0,Single,211,Online,0,0,0,Not_Canceled
INN00204,2,0,Single,273,Online,0,0,0,Not_Canceled
INN00205,2,0,Single,58,Offline,0,0,0,Not_Canceled
INN00206,2,0,Single,433,Online,0,0,0,Not_Canceled
INN00207,2,0,Single,111,Online,0,0,0,Not_Canceled
INN00208,2,0,Single,34,Offline,0,0,0,Not_Canceled
INN00209,2,0,Single,17,Online,0,0,0,Not_Canceled
INN00210,1,0,Single,4,Complementary,0,0,0,Not_Canceled
INN00211,2,0,Single,6,Online,0,0,0,Not_Canceled
INN00212,2,0,Single,32,Offline,0,0,0,Not_Canceled
INN00213,2,0,Single,4,Online,0,0,0,Not_Canceled
INN00336,2,0,Single,282,Offline,1,0,6,Not_Canceled
INN00215,2,0,Single,119,Online,0,0,0,Not_Canceled
INN00216,1,0,Single,13,Online,0,0,0,Not_Canceled
INN00217,2,0,Single,59,Online,0,0,0,Not_Canceled
INN04447,2,0,Single,282,Online,1,0,1,Not_Canceled
INN00219,2,0,Single,335,Offline,0,0,0,Not_Canceled
INN00220,2,0,Single,103,Online,0,0,0,Not_Canceled
INN00221,1,0,Single,0,Online,0,0,0,Not_Canceled
INN00222,2,0,Single,118,Offline,0,0,0,Not_Canceled
INN00223,2,0,Single,56,Online,0,0,0,Not_Canceled
INN00224,2,0,Single,107,Offline,0,0,0,Not_Canceled
INN00225,2,0,Single,70,Online,0,0,0,Not_Canceled
INN00226,2,0,Single,76,Online,0,0,0,Not_Canceled
INN00227,2,2,In relation,144,Online,0,0,0,Not_Canceled
INN00228,1,2,In relation,4,Online,0,0,0,Not_Canceled
INN00229,2,1,In relation,15,Online,0,0,0,Canceled
INN00230,1,0,Single,32,Online,0,0,0,Not_Canceled
INN00231,3,0,Single,49,Online,0,0,0,Not_Canceled
INN00232,2,1,In relation,77,Online,0,0,0,Not_Canceled
INN00233,1,0,Single,22,Offline,0,0,0,Not_Canceled
INN00234,2,0,Single,0,Online,0,0,0,Not_Canceled
INN00235,2,1,In relation,58,Online,0,0,0,Not_Canceled
INN00236,2,0,Single,4,Online,0,0,0,Not_Canceled
INN00237,2,0,Single,117,Online,0,0,0,Not_Canceled
INN00238,2,0,Single,36,Online,0,0,0,Not_Canceled
INN00239,2,0,Single,35,Online,0,0,0,Not_Canceled
INN00240,2,0,Single,31,Online,0,0,0,Not_Canceled
INN00241,2,0,Single,79,Online,0,0,0,Canceled
INN00242,2,0,Single,1,Online,0,0,0,Not_Canceled
INN00243,2,0,Single,21,Online,0,0,0,Not_Canceled
INN00244,2,0,Single,12,Corporate,0,0,0,Not_Canceled
INN00245,2,0,Single,33,Online,0,0,0,Not_Canceled
INN00246,1,0,Single,164,Offline,0,0,0,Not_Canceled
INN00247,2,0,Single,78,Online,0,0,0,Not_Canceled
INN00248,2,0,Single,18,Online,0,0,0,Not_Canceled
INN00249,2,0,Single,21,Online,0,0,0,Not_Canceled
INN02289,2,0,Single,281,Online,1,11,1,Not_Canceled
INN00251,3,0,Single,152,Online,0,0,0,Not_Canceled
INN00252,2,0,Single,43,Offline,0,0,0,Not_Canceled
INN00253,2,0,Single,177,Online,0,0,0,Not_Canceled
INN00254,2,0,Single,47,Offline,0,0,0,Not_Canceled
INN00255,3,0,Single,57,Online,0,0,0,Not_Canceled
INN00169,2,0,Single,280,Online,1,1,1,Not_Canceled
INN00257,2,0,Single,0,Online,0,0,0,Not_Canceled
INN00258,2,0,Single,102,Online,0,0,0,Not_Canceled
INN00259,2,0,Single,71,Online,0,0,0,Not_Canceled
INN00260,3,0,Single,111,Online,0,0,0,Not_Canceled
INN00261,3,0,Single,1,Online,0,0,0,Canceled
INN00262,2,0,Single,4,Online,0,0,0,Not_Canceled
INN00263,2,0,Single,25,Online,0,0,0,Not_Canceled
INN00264,1,0,Single,209,Online,0,0,0,Not_Canceled
INN09599,2,0,Single,280,Offline,1,1,0,Not_Canceled
INN00266,2,0,Single,53,Online,0,0,0,Not_Canceled
INN00267,1,0,Single,1,Complementary,0,0,0,Not_Canceled
INN00268,1,0,Single,4,Complementary,0,0,0,Not_Canceled
INN09640,2,0,Single,280,Offline,1,1,0,Not_Canceled
INN00270,2,0,Single,122,Offline,0,0,0,Not_Canceled
INN00271,1,0,Single,16,Corporate,0,0,0,Not_Canceled
INN00272,2,0,Single,28,Online,0,0,0,Not_Canceled
INN00273,2,0,Single,161,Online,0,0,0,Not_Canceled
INN00274,3,0,Single,57,Online,0,0,0,Not_Canceled
INN00275,2,0,Single,19,Online,0,0,0,Not_Canceled
INN00276,3,0,Single,109,Online,0,0,0,Not_Canceled
INN00277,1,0,Single,239,Online,0,0,0,Not_Canceled
INN00278,1,0,Single,33,Online,0,0,0,Not_Canceled
INN00279,2,0,Single,11,Online,0,0,0,Not_Canceled
INN05977,2,0,Single,278,Online,1,1,0,Not_Canceled
INN00281,3,0,Single,45,Offline,0,0,0,Canceled
INN00282,2,0,Single,41,Online,0,0,0,Not_Canceled
INN00283,2,0,Single,167,Online,0,0,0,Not_Canceled
INN00284,2,0,Single,62,Online,0,0,0,Not_Canceled
INN00285,1,0,Single,113,Online,0,0,0,Not_Canceled
INN00286,2,0,Single,1,Online,0,0,0,Not_Canceled
INN00287,2,2,In relation,84,Online,0,0,0,Not_Canceled
INN00288,0,2,In relation,68,Online,0,0,0,Not_Canceled
INN00289,2,0,Single,9,Complementary,0,0,0,Not_Canceled
INN00290,3,0,Single,245,Online,0,0,0,Not_Canceled
INN00291,2,0,Single,80,Online,0,0,0,Not_Canceled
INN00292,2,0,Single,7,Online,0,0,0,Not_Canceled
INN00293,2,1,In relation,128,Online,0,0,0,Not_Canceled
INN00294,2,0,Single,100,Online,0,0,0,Not_Canceled
INN00295,2,0,Single,118,Online,0,0,0,Not_Canceled
INN00296,1,0,Single,166,Online,0,0,0,Not_Canceled
INN00297,1,0,Single,41,Offline,0,0,0,Not_Canceled
INN00298,2,0,Single,174,Online,0,0,0,Not_Canceled
INN06563,2,0,Single,276,Online,1,0,8,Not_Canceled
INN00300,2,0,Single,2,Online,0,0,0,Not_Canceled
INN00301,1,0,Single,37,Offline,0,0,0,Not_Canceled
INN00302,1,0,Single,188,Online,0,0,0,Not_Canceled
INN00303,2,0,Single,68,Offline,0,0,0,Not_Canceled
INN00304,2,0,Single,189,Online,0,0,0,Not_Canceled
INN08490,2,0,Single,276,Offline,1,1,0,Not_Canceled
INN00306,3,0,Single,19,Online,0,0,0,Not_Canceled
INN00307,2,0,Single,61,Online,0,0,0,Not_Canceled
INN00308,2,0,Single,95,Offline,0,0,0,Not_Canceled
INN00309,2,0,Single,83,Offline,0,0,0,Not_Canceled
INN00310,2,0,Single,37,Online,0,0,0,Not_Canceled
INN00311,2,0,Single,19,Online,0,0,0,Not_Canceled
INN00312,2,2,In relation,22,Online,0,0,0,Canceled
INN00313,2,0,Single,22,Online,0,0,0,Not_Canceled
INN00314,2,0,Single,151,Online,0,0,0,Not_Canceled
INN00315,2,0,Single,26,Offline,0,0,0,Not_Canceled
INN00316,3,0,Single,27,Online,0,0,0,Not_Canceled
INN00317,2,0,Single,79,Offline,0,0,0,Not_Canceled
INN00318,2,0,Single,247,Online,0,0,0,Not_Canceled
INN00319,2,0,Single,189,Online,0,0,0,Not_Canceled
INN00320,2,0,Single,320,Online,0,0,0,Not_Canceled
INN00321,3,0,Single,27,Online,0,0,0,Not_Canceled
INN00322,1,0,Single,51,Corporate,0,0,0,Not_Canceled
INN00323,2,0,Single,245,Online,0,0,0,Not_Canceled
INN00324,2,1,In relation,52,Online,0,0,0,Not_Canceled
INN00325,1,0,Single,13,Online,0,0,0,Canceled
INN00326,2,0,Single,46,Online,0,0,0,Not_Canceled
INN00327,3,0,Single,84,Online,0,0,0,Not_Canceled
INN00328,1,0,Single,188,Online,0,0,0,Not_Canceled
INN00329,2,0,Single,19,Offline,0,0,0,Not_Canceled
INN00330,2,0,Single,67,Online,0,0,0,Not_Canceled
INN00331,2,0,Single,0,Online,0,0,0,Not_Canceled
INN00332,2,0,Single,273,Online,0,0,0,Not_Canceled
INN00333,2,0,Single,110,Online,0,0,0,Not_Canceled
INN00334,1,0,Single,0,Corporate,0,0,0,Not_Canceled
INN00335,2,0,Single,32,Offline,0,0,0,Not_Canceled
INN24893,2,0,Single,276,Offline,1,1,0,Canceled
INN00337,2,0,Single,38,Online,0,0,0,Not_Canceled
INN09764,2,0,Single,275,Offline,1,1,0,Not_Canceled
INN00339,2,0,Single,143,Online,0,0,0,Not_Canceled
INN00340,2,0,Single,127,Online,0,0,0,Not_Canceled
INN22311,2,0,Single,275,Offline,1,3,14,Not_Canceled
INN00342,2,1,In relation,95,Online,0,0,0,Canceled
INN00343,1,0,Single,118,Offline,0,0,0,Not_Canceled
INN00344,2,0,Single,45,Offline,0,0,0,Not_Canceled
INN00345,3,0,Single,69,Online,0,0,0,Not_Canceled
INN00346,2,0,Single,57,Online,0,0,0,Not_Canceled
INN00347,1,0,Single,5,Complementary,0,0,0,Not_Canceled
INN00348,2,0,Single,39,Offline,0,0,0,Not_Canceled
INN00154,2,0,Single,273,Online,1,1,7,Not_Canceled
INN00350,3,0,Single,89,Online,0,0,0,Not_Canceled
INN00351,2,0,Single,85,Online,0,0,0,Not_Canceled
INN00352,1,0,Single,4,Corporate,0,0,0,Not_Canceled
INN00353,1,0,Single,11,Online,0,0,0,Not_Canceled
INN00354,1,0,Single,12,Online,0,0,0,Not_Canceled
INN03015,2,0,Single,273,Online,1,0,1,Not_Canceled
INN00356,2,1,In relation,14,Online,0,0,0,Not_Canceled
INN00357,1,0,Single,1,Online,0,0,0,Not_Canceled
INN00358,2,0,Single,133,Offline,0,0,0,Not_Canceled
INN00359,2,0,Single,3,Offline,0,0,0,Not_Canceled
INN00360,2,0,Single,19,Offline,0,0,0,Not_Canceled
INN00361,2,0,Single,86,Offline,0,0,0,Not_Canceled
INN05401,2,0,Single,273,Online,1,0,5,Not_Canceled
INN00363,2,0,Single,65,Online,0,0,0,Not_Canceled
INN00364,2,0,Single,1,Online,0,0,0,Canceled
INN00365,2,0,Single,66,Online,0,0,0,Canceled
INN00366,3,0,Single,50,Online,0,0,0,Not_Canceled
INN00695,2,0,Single,271,Offline,1,0,1,Not_Canceled
INN06036,2,0,Single,271,Online,1,1,0,Not_Canceled
INN00369,2,0,Single,39,Online,0,0,0,Not_Canceled
INN00370,2,0,Single,386,Online,0,0,0,Not_Canceled
INN00371,2,2,In relation,22,Online,0,0,0,Not_Canceled
INN00965,2,0,Single,270,Offline,1,0,2,Not_Canceled
INN00373,4,0,Single,86,Online,0,0,0,Not_Canceled
INN00603,2,0,Single,265,Online,1,0,5,Not_Canceled
INN00375,2,0,Single,36,Online,0,0,0,Not_Canceled
INN00376,2,0,Single,50,Online,0,0,0,Not_Canceled
INN00377,2,0,Single,115,Online,0,0,0,Not_Canceled
INN00378,1,0,Single,0,Corporate,0,0,0,Not_Canceled
INN00379,2,0,Single,35,Online,0,0,0,Not_Canceled
INN00380,2,0,Single,17,Offline,0,0,0,Not_Canceled
INN00381,2,0,Single,237,Online,0,0,0,Not_Canceled
INN00382,2,0,Single,125,Online,0,0,0,Not_Canceled
INN00383,2,2,In relation,32,Online,0,0,0,Not_Canceled
INN03026,1,0,Single,265,Offline,1,0,1,Not_Canceled
INN00385,2,0,Single,91,Online,0,0,0,Not_Canceled
